problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
LISWET8,0.006460644,12.142591603,12.149052247,solved inaccurate,3.837473039362611e-06,3.0306938926697264e-07,-0.0004115680274813832,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET9,0.006365094,12.148401603,12.154766697,solved inaccurate,3.8990292398627904e-06,3.0707851841166145e-07,-0.001425131579418932,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LOTSCHD,9.2001e-05,0.000116251,0.000208252,solved,2.3425836295224057e-05,4.733552118245265e-06,-0.0014945231705496553,3,175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MOSARQP1,0.002045064,0.049280986,0.05132605,solved,2.8524315108802156e-06,1.8888342220335953e-06,-1.3523774053500044e-06,11,575,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MOSARQP2,0.001342989,0.01178909,0.013132079,solved,1.5547282163935027e-06,1.0705992543272764e-06,-2.571688023772407e-06,4,225,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
POWELL20,0.008389297,11.943528129,11.951917426000001,maximum iterations reached,0.29283931137069885,1.0745896421926773,-2547670605.393814,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL1,0.001380329,0.002008574,0.003388903,solved,7.483445252365328e-09,2.825735222723117e-07,5.166680659696166e-09,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL2,0.002171044,0.001831483,0.0040025270000000005,solved,2.454347836078341e-11,8.858220146984452e-13,8.925631067580042e-12,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL3,0.008003935,0.005231105,0.01323504,solved,2.6778038980657115e-08,2.2411393630402537e-07,-1.91902599921967e-08,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMAL4,0.00739707,0.008327557,0.015724626999999998,solved,2.292749667898164e-08,6.081792900333727e-07,-2.2729215576333672e-07,2,125,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
