problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
CVXQP1_L,1.242340845,49.799815681,51.042156526,solved,6.998269645727081e-06,0.1882289774890853,0.007739057546966185,0.06346714231035484,-22.959303229564775,0.10560390504015123,0.3778846412475296,168,8400,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP1_M,0.005338173,0.130154391,0.135492564,solved,6.439011063473256e-06,0.9198587218331781,0.0004862270140165176,0.040744283184908414,-0.013070916291326284,0.006009556886908333,0.005483263388494298,12,625,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP1_S,0.000177331,0.002174044,0.002351375,solved,2.6524925324401887e-06,0.37892750437638867,0.0008509451113144782,0.759012902550827,-0.0008419206569669768,0.036317177886000813,8.314108271616855e-06,8,425,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP2_L,0.788947176,7.425344451,8.214291627,solved,6.054662176221107e-06,0.8649517381166195,6.960751203468258e-05,0.0005219334046402073,-0.0026807686271342643,1.638605102312615e-05,0.09879617214696017,33,1650,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP2_M,0.003760614,0.019991606,0.023752219999999998,solved,3.6776095662963433e-06,0.5253727947039448,9.86873119352212e-05,0.008783246728065852,-0.0007886774837970734,0.00048080706130164755,0.0010207034887446758,3,175,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP2_S,0.000179251,0.000371333,0.000550584,solved,1.2450216137444721e-08,0.000944889688297231,2.4171390260828038e-05,0.024104147804175056,-1.129508382291533e-05,0.0006953867262168533,2.455370439872574e-06,1,75,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP3_L,1.618624858,80.252476416,81.871101274,solved,6.93859729104907e-06,0.9912278709939377,0.009565254231084966,0.0789708511582229,-72.05685096750953,0.31136535824449557,0.03787419587951218,240,12000,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP3_M,0.006804273,0.4826015,0.489405773,solved,5.32068541565988e-07,0.0726971716548469,0.008258332203936902,0.6831670621142514,-0.05290418164804578,0.019409682864957138,0.0009804365544279418,60,3000,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
CVXQP3_S,0.000210281,0.000617844,0.000828125,solved,5.7154576568689595e-06,0.8164939437645373,0.0005429047784808032,0.48656111364899396,-0.001562199839099776,0.0653972189008057,3.3934636026135344e-06,2,100,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
DPKLO1,0.000264691,0.000539224,0.0008039150000000001,solved,6.524692980467277e-08,0.0017383502486469674,8.613375387015631e-08,0.06373403932964959,9.837812046109562e-07,0.5653289740454245,6.246984084266105e-06,1,50,19,averaged,1.3422193400971083,-1,43.57844347221261,53.716263937279805,-1,-1,1,1,0.5518764283063351,75,-1,41.62235011424544,1,-1,-1,1,0.5647960387607971,0.591993826970528,-1,0,-1,-1,-1
