problem name,setup time,solve time,run time,status,objective,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
TAME_Maros_Meszaros,1.8e-05,1.505e-05,3.3050000000000004e-05,solved,0.0,3.7026041796606356e-10,0.00018513024443348396,1.851302089487586e-10,2.4951142158955263e-09,0.0024951142096699317,2.4951142096699318e-09,-2.4951142158955268e-09,0.0024951142096699317,2.495114209669932e-09,5.53157983385308e-06,1,50,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
UBH1_Maros_Meszaros,0.010549111,16.467359194,16.477908305,solved,1.1160008173199967,1.5235386285894492e-08,6.7374854665107895e-06,6.73748546651079e-12,1.54684224413712e-12,1.4788674012547656e-06,1.4788674012547656e-12,-3.229258829229309e-06,0.9991503614266012,9.99150361838812e-07,526.6430034579657,482,24125,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
VALUES_Maros_Meszaros,0.000334083,0.017385679,0.017719762,solved,-1.3966225798117722,6.385801710312238e-07,0.47709185103563734,4.770918510356374e-07,1.528648587086647e-06,0.7720067784434098,7.720067784434097e-07,-4.3289008688773833e-07,0.11412131825116308,1.141213177828683e-07,0.02648436928212852,19,975,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
ZECEVIC2_Maros_Meszaros,1.494e-05,2.589e-05,4.083e-05,solved,-4.124999965783566,1.710821706524257e-08,0.0,4.5621912429203716e-09,2.724227154971004e-08,0.00681056788742751,6.81056788742751e-09,8.74108176951438e-08,0.016649679673584234,1.6649679673584234e-08,7.242164683948318e-05,2,100,39,reflected halpern,1.2754739797179424,-1,43.14662414891187,47.82999822231643,-1,-1,1,-1,0.6368949146883314,50,0.09391860994364533,-1,-1,none,1,1,0.5253651286618276,0.22923978427822947,0,0,-1,-1,-1
30n20b8_MIPLIB,0.040618763,36.06897774,36.109596503,solved,1.5664084499101505,6.565427798169652e-07,0.0032997449942259705,3.2997449942634623e-09,4.999022446336032e-07,0.004949527221256036,4.94952717459013e-09,-1.932116128200434e-06,0.7528475426791208,7.528476901947984e-07,1923.5750627812884,1180,59025,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
50v-10_MIPLIB,0.00155,0.138520842,0.140070842,solved,2879.074759051169,0.00040919163367892026,0.30355462440026815,3.035546243908904e-07,2.577671186416754e-05,0.03567118531634901,3.567118531459802e-08,0.0014732751311727578,0.5115405862166496,5.115405864180148e-07,2.4270170470239805,42,2100,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
academictimetablesmall_MIPLIB,0.704067177,17.916066079,18.620133256,solved,7.795791305265458e-07,1.2492442383887533e-05,0.1538638183944473,1.542276837516971e-07,0.00011914310192688979,0.11843250688555848,1.1843250688557632e-07,3.8946164554357993e-07,0.3893619441818294,3.894613419276456e-07,1618.9529766381318,51,2575,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
air05_MIPLIB,0.051125984,52.436635731,52.487761715000005,solved,25877.626307480292,1.5698977558059862e-06,0.7212342167715878,7.84948801305763e-07,0.0025704047153249365,0.959106237073412,9.591062370615434e-07,0.014822752445171616,0.5727797263646869,5.727797244356459e-07,19.577174081764493,2395,119775,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
app1-1_MIPLIB,0.003284092,26.117503829,26.120787921,solved,-22.824355875307027,2.2139091733763827e-06,0.5523308475342723,5.52330847534269e-07,1.8026545838961683e-06,0.9013272890320514,9.013272890320514e-07,6.137300303521442e-07,0.025760612672850812,2.5760613120214027e-08,2.4750706164183267,3564,178225,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
assign1-5-8_MIPLIB,0.001132308,0.06736721,0.068499518,solved,183.36257911766728,7.327824894725407e-06,0.1760579477662249,7.042280625344801e-07,1.3133876142212841e-06,0.656693375864169,6.56693375864169e-07,2.226576870612007e-05,0.12077162675307537,1.2077162736972344e-07,0.43091021508131233,38,1925,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
b1c1s1_MIPLIB,0.008081716,63.119014682,63.127096398,solved,2866.658355106046,0.004520905113948524,0.6018525978149629,6.027069874131612e-07,0.0011341404982368516,0.9443299176257838,9.443299176258343e-07,-0.002005294140960956,0.6992787870747299,6.992788158082687e-07,138.18888566530734,4928,246425,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
beasleyC3_MIPLIB,0.001904453,0.177512711,0.179417164,solved,40.426828247001986,1.6417525103014228e-05,0.19780150726519177,1.9780150726519177e-07,2.5976908257785425e-06,0.23615367309700372,2.3615367315756135e-07,-4.050598576586189e-05,0.977770876362154,9.777708763697125e-07,0.778119920848995,44,2225,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
binkar10_1_MIPLIB,0.001681522,5.078403585,5.080085107,solved,6637.465242219611,1.0168828420590271e-07,0.0011915667341441973,1.1915665438364252e-09,0.06645470879930584,0.06645464300921264,6.645464300920922e-08,-0.0019583644900365797,0.2950025112908906,2.9500251049884955e-07,21.238037387670932,1491,74550,47,reflected halpern,0.8788347818715198,-1,38.11677050371655,2.0815947539092527,-1,-1,1,-1,0.45546436263679874,50,0.900798008239884,-1,-1,none,1,1,0.4543500369148766,0.011822372500516765,0,1,65.68072253203964,50.20957170181586,-1
