iteration,prob_name,prim_res,dual_res,duality_gap,restart
82,AUG2DCQP,6.001e+00,4.902e+00,-6.760e+05,0
83,AUG2DCQP,5.958e+00,5.232e+00,-6.713e+05,0
84,AUG2DCQP,5.936e+00,5.280e+00,-6.667e+05,0
85,AUG2DCQP,5.883e+00,5.499e+00,-6.622e+05,0
86,AUG2DCQP,5.832e+00,5.581e+00,-6.577e+05,0
87,AUG2DCQP,5.778e+00,5.947e+00,-6.534e+05,0
88,AUG2DCQP,5.756e+00,6.093e+00,-6.494e+05,0
89,AUG2DCQP,5.713e+00,6.423e+00,-6.458e+05,0
90,AUG2DCQP,5.695e+00,6.537e+00,-6.423e+05,0
91,AUG2DCQP,5.659e+00,6.814e+00,-6.391e+05,0
92,AUG2DCQP,5.645e+00,6.892e+00,-6.360e+05,0
93,AUG2DCQP,5.607e+00,7.127e+00,-6.331e+05,0
94,AUG2DCQP,5.600e+00,7.294e+00,-6.302e+05,0
95,AUG2DCQP,5.566e+00,7.656e+00,-6.274e+05,0
96,AUG2DCQP,5.560e+00,8.118e+00,-6.246e+05,0
97,AUG2DCQP,5.521e+00,8.403e+00,-6.217e+05,0
98,AUG2DCQP,5.508e+00,8.767e+00,-6.189e+05,0
99,AUG2DCQP,5.455e+00,9.018e+00,-6.159e+05,0
100,AUG2DCQP,5.413e+00,9.353e+00,-6.130e+05,0
101,AUG2DCQP,5.379e+00,9.487e+00,-6.101e+05,0
102,AUG2DCQP,5.352e+00,9.710e+00,-6.074e+05,0
103,AUG2DCQP,5.331e+00,9.777e+00,-6.049e+05,0
104,AUG2DCQP,5.308e+00,9.932e+00,-6.027e+05,0
105,AUG2DCQP,5.287e+00,9.946e+00,-6.005e+05,0
106,AUG2DCQP,5.267e+00,1.004e+01,-5.985e+05,0
107,AUG2DCQP,5.254e+00,1.001e+01,-5.965e+05,0
108,AUG2DCQP,5.231e+00,1.006e+01,-5.947e+05,0
109,AUG2DCQP,5.221e+00,9.978e+00,-5.928e+05,0
110,AUG2DCQP,5.190e+00,1.019e+00,-5.891e+05,1
111,AUG2DCQP,5.116e+00,1.062e+00,-5.841e+05,0
112,AUG2DCQP,5.067e+00,1.430e+00,-5.768e+05,0
113,AUG2DCQP,5.030e+00,1.497e+00,-5.699e+05,0
114,AUG2DCQP,4.995e+00,1.991e+00,-5.639e+05,0
115,AUG2DCQP,4.964e+00,2.215e+00,-5.583e+05,0
116,AUG2DCQP,4.932e+00,2.261e+00,-5.531e+05,0
117,AUG2DCQP,4.881e+00,2.552e+00,-5.481e+05,0
118,AUG2DCQP,4.856e+00,2.680e+00,-5.434e+05,0
119,AUG2DCQP,4.803e+00,2.727e+00,-5.390e+05,0
120,AUG2DCQP,4.801e+00,2.918e+00,-5.349e+05,0
121,AUG2DCQP,4.751e+00,3.081e+00,-5.312e+05,0
122,AUG2DCQP,4.755e+00,3.246e+00,-5.277e+05,0
123,AUG2DCQP,4.711e+00,3.476e+00,-5.246e+05,0
