problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
DUAL2,0.000584974,0.001039817,0.001624791,solved,1.7181937387498017e-09,0.0008590972370550458,8.551818046359723e-08,0.07975798710643339,7.743254176045822e-08,0.07474206100340487,1.4535751711420904e-05,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUAL3,0.000468663,0.001407339,0.001876002,solved,6.146292660025998e-09,0.003073146327327843,2.2753850918425693e-07,0.1863409485932421,2.1341679032338412e-07,0.18625226975807765,4.3279594519809566e-05,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUAL4,0.000231061,0.000647795,0.0008788559999999999,solved,6.173375399307636e-08,0.0251814673216176,2.766849389944605e-07,0.1258401995915205,2.111747851030188e-07,0.11484876715977818,1.210186778194882e-05,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUALC1,0.000130671,0.004825131,0.004955802,solved,1.2376726850070172e-08,6.105933326370496e-06,0.2467839169517826,0.07323918960481125,0.004323018453931082,0.4184561568789251,5.514117365930955e-05,14,700,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUALC2,0.00011162,0.001672791,0.001784411,solved,1.6144107354559918e-08,4.659617612078597e-06,0.0074792132947999026,0.02835013212192986,-0.001431395862414625,0.3028247325127486,6.0961704152256775e-05,5,275,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUALC5,0.000164801,0.000610284,0.000775085,solved,3.542607445958433e-08,4.331824910628921e-05,3.1717560038309495e-06,0.0017818343204249647,-1.6643495489686244e-05,0.0360979203063562,0.00014484059372368765,1,75,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
DUALC8,0.000239961,0.001114677,0.0013546379999999998,solved,3.0321538203843975e-08,1.5119273956817295e-05,0.010200111492801164,0.0734677640265086,0.006519697276938866,0.19630318046269157,0.00014193913642415843,1,75,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
EXDATA,0.358546252,6.619674293,6.978220545,solved,1.2244061714739018e-05,0.4925857614557952,2.648344611141593e-06,0.535763760110258,-9.55822998344642e-05,0.39116275811474854,0.025633409131199082,23,1150,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
GENHS28,8.2691e-05,3.337e-05,0.000116061,solved,1.3897433450027083e-09,0.0006948716042177621,3.5902620876271385e-09,0.001457928168657956,6.971083266194e-09,0.0024422686899443716,1.136791448092155e-08,1,50,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
GOULDQP2,0.000402473,0.057586566,0.057989039,solved,3.362634615200477e-05,0.9825800928325433,3.697312164659926e-10,0.00036969371308401554,-3.3617897852826484e-07,0.3360550153716021,7.185892382724598e-06,43,2175,50,averaged,0.9981524890639957,-1,45.34894452360261,54.24066462397568,-1,-1,1,1,0.5469885536215189,75,-1,16.32345754984683,0,-1,-1,1,0.5826269478799319,0.6815007492805892,-1,0,-1,-1,-1
