problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI
DUAL4,0.000215851,0.000652884,0.0008687349999999999,solved,6.173375399307636e-08,0.0251814673216176,2.766849389944605e-07,0.1258401995915205,2.111747851030188e-07,0.11484876715977818,2.6281013913491586e-05,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC1,0.000141321,0.004731009,0.00487233,solved,1.2376726850070172e-08,6.105933326370496e-06,0.2467839169517826,0.07323918960481125,0.004323018453931082,0.4184561568789251,0.003128644452345609,14,700,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC2,0.00011948,0.001723011,0.001842491,solved,1.6144107354559918e-08,4.659617612078597e-06,0.0074792132947999026,0.02835013212192986,-0.001431395862414625,0.3028247325127486,0.0006544548505511456,5,275,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC5,0.000158201,0.000624604,0.0007828049999999999,solved,3.542607445958433e-08,4.331824910628921e-05,3.1717560038309495e-06,0.0017818343204249647,-1.6643495489686244e-05,0.0360979203063562,0.00048524082839932305,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DUALC8,0.000230401,0.001126317,0.001356718,solved,3.0321538203843975e-08,1.5119273956817295e-05,0.010200111492801164,0.0734677640265086,0.006519697276938866,0.19630318046269157,0.0006673606917649065,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EXDATA,0.356871479,6.603327822,6.960199300999999,solved,1.2244061714739018e-05,0.4925857614557952,2.648344611141593e-06,0.535763760110258,-9.55822998344642e-05,0.39116275811474854,2.213768021214702,23,1150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GENHS28,7.8661e-05,3.232e-05,0.000110981,solved,1.3897433450027083e-09,0.0006948716042177621,3.5902620876271385e-09,0.001457928168657956,6.971083266194e-09,0.0024422686899443716,2.633683160689454e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GOULDQP2,0.000391532,0.057553105,0.057944637,solved,3.362634615200477e-05,0.9825800928325433,3.697312164659926e-10,0.00036969371308401554,-3.3617897852826484e-07,0.3360550153716021,4.47479741674725e-05,43,2175,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GOULDQP3,0.000476403,0.001320538,0.001796941,solved,4.022339350484572e-09,9.993128810998864e-05,1.631459897021014e-08,0.00047672166095577166,9.870644577492093e-07,1.661019647639594e-05,4.006640175302311e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS118,9.494e-05,0.000515163,0.000610103,solved,1.8258021423633863e-06,0.018077248990159996,5.113051284588721e-08,0.015486586115032267,-1.5084033293533137e-06,0.0022582888142510258,3.4517238940443167e-06,13,675,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS21,1.191e-05,1.9851e-05,3.1760999999999996e-05,solved,7.621471044541431e-07,0.036292732444186876,1.874919494353522e-08,0.01802807232826909,7.012517330706736e-09,0.0064930719562249556,2.5179608968094346e-07,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS268,2.221e-05,9.944e-05,0.00012165,solved,2.9937461788616806e-14,0.0,0.005304829026330345,0.15511649546240905,-0.026615756172583622,0.9201016715746005,1.080505109847806e-06,5,250,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS35,1.246e-05,1.544e-05,2.79e-05,solved,8.632117123050005e-11,0.0,1.7898321713616383e-11,1.988705496576889e-06,1.770514761034759e-12,9.78726302463712e-08,2.221118863098744e-11,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS35MOD,1.235e-05,1.513e-05,2.748e-05,solved,6.93985105987867e-10,0.00017349627287476554,7.3020380852994996e-09,0.000811337564912012,4.96574115365242e-09,0.0002758744960243479,3.727112410912132e-09,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS51,2.275e-05,1.863e-05,4.138e-05,solved,6.000127132139516e-09,0.0012000254997511877,2.089465737631865e-08,0.0041789315308863855,2.7803403478299667e-08,0.0021387234224548315,2.6964706836533358e-08,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS52,1.499e-05,1.827e-05,3.3260000000000003e-05,solved,7.145616255768474e-12,4.714188947881006e-06,3.233602123646081e-11,6.467981705782223e-06,6.803184170798909e-11,2.89904475411394e-05,1.182683799918314e-10,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS53,1.495e-05,1.077e-05,2.5719999999999998e-05,solved,3.5527750360094117e-07,0.2010122391617069,4.239780161608801e-06,0.8479560322349756,2.8387329139679874e-06,0.589688422726702,1.7238668421678175e-11,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HS76,2.023e-05,1.7551e-05,3.7780999999999996e-05,solved,4.0779076613981343e-07,0.05023295660230113,3.160869573903304e-07,0.07902173938811874,3.0576746839733224e-07,0.037791487279791994,1.8264910457979046e-09,1,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HUES-MOD,0.004098485,0.578483775,0.58258226,solved,0.0003780454452453341,0.03968613826943297,1.8192039246203717e-07,0.06262370853218571,-59.775211066007614,0.8582365728146243,0.3807450867165027,38,1925,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
