problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
HUES-MOD,0.004132636,0.088329546,0.09246218199999999,primal infeasible,21.477205654951717,0.010978782701228325,-3114917.4774712473,6,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
HUESTIS,0.004135737,0.022238212,0.026373949,primal infeasible,451.9330197346369,322.175608153484,-54214887225.75273,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
KSIP,0.001054927,0.543222697,0.544277624,solved,1.2540294000995544e-06,1.8687368168457397e-06,1.204020365186409e-06,195,9750,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LASER,0.000794525,0.005696156,0.006490681,solved,2.2744578941745002e-05,3.498894667676819e-06,-0.5231518447399139,2,125,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET1,0.006428101,12.154959396,12.161387497,solved inaccurate,1.1498820796349276e-05,7.627935165700486e-07,-0.0010193333909788247,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET10,0.006457102,12.157393481,12.163850583,solved inaccurate,3.5503712844007384e-06,3.3641469021882344e-07,-0.0002623106551867295,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET11,0.006478892,12.171701932,12.178180824,solved inaccurate,3.7824565619274325e-06,3.523666183806031e-07,-0.0004217749367105625,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET12,0.006409281,12.16198542,12.168394701,solved inaccurate,4.768875207438049e-06,4.084211931044156e-07,-0.0015737495912345365,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET2,0.006487091,12.24943192,12.255919011,solved inaccurate,3.7739390493071452e-06,3.0678927061025967e-07,-0.0002337812586535785,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET3,0.006479732,12.118491662,12.124971394000001,solved inaccurate,3.7555636198056308e-06,3.061776947536218e-07,-0.00023210665483485124,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET4,0.006490241,12.15251113,12.159001371,solved inaccurate,3.7515462069399187e-06,3.070330436854684e-07,-0.00023131509084267166,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET5,0.006494271,8.361839998,8.368334269,solved,3.7113744929982503e-06,6.770776279145922e-07,-0.000231205706117762,344,17225,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET6,0.006461152,12.13541961,12.141880762,solved inaccurate,3.494647385577469e-06,3.307828818595368e-07,-0.0002259600122211168,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LISWET7,0.006487712,12.129510992,12.135998704,solved inaccurate,3.8389923376914724e-06,3.032593119957161e-07,-0.0003084741998731836,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
