problem name,setup time,solve time,run time,status,primal residual,primal ratio,prim_normalized,dual residual,dual ratio,dual_normalized,duality gap,duality gap ratio,duality_gap_normalized,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
CVXQP1_M_Maros_Meszaros,0.005470264,0.132808063,0.138278327,solved,6.439011063473256e-06,0.9198587218331781,9.198587218321516e-07,0.0004862270140165176,0.040744283184908414,4.0744283177284484e-08,-0.013070916291326284,0.006009556886908333,6.009550035875759e-09,5.604230864632576,12,625,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP1_S_Maros_Meszaros,0.000188241,0.002135124,0.002323365,solved,2.6524925324401887e-06,0.37892750437638867,3.78927504376806e-07,0.0008509451113144782,0.759012902550827,7.590129026436419e-07,-0.0008419206569669768,0.036317177886000813,3.631717835678551e-08,0.009591869589705553,8,425,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP2_L_Maros_Meszaros,0.823646882,7.649070631,8.472717513,solved,6.054662176221107e-06,0.8649517381166195,8.649517381164962e-07,6.960751203468258e-05,0.0005219334046402073,5.219334002940148e-10,-0.0026807686271342643,1.638605102312615e-05,1.6377615407099797e-11,103.37184633927275,33,1650,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP2_M_Maros_Meszaros,0.004013796,0.019700325,0.023714121,solved,3.6776095662963433e-06,0.5253727947039448,5.25372794704306e-07,9.86873119352212e-05,0.008783246728065852,8.783246706755506e-09,-0.0007886774837970734,0.00048080706130164755,4.808094743311663e-10,1.034589514706179,3,175,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP2_S_Maros_Meszaros,0.000184631,0.000354452,0.000539083,solved,1.2450216137444721e-08,0.000944889688297231,1.7786023053105206e-09,2.4171390260828038e-05,0.024104147804175056,2.4104147884706246e-08,-1.129508382291533e-05,0.0006953867262168533,6.953867262168534e-10,0.003934941608914815,1,75,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP3_L_Maros_Meszaros,1.5792008819999999,79.498589455,81.077790337,solved,6.93859729104907e-06,0.9912278709939377,9.912278709445334e-07,0.009565254231084966,0.0789708511582229,7.897085115605661e-08,-72.05685096750953,0.31136535824449557,3.113654190183278e-07,89.25845784775942,240,12000,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP3_M_Maros_Meszaros,0.006553452,0.45956974,0.466123192,solved,5.32068541565988e-07,0.0726971716548469,7.600979146297538e-08,0.008258332203936902,0.6831670621142514,6.83167062115427e-07,-0.05290418164804578,0.019409682864957138,1.9409688502795637e-08,2.7131228069692566,60,3000,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
CVXQP3_S_Maros_Meszaros,0.000210631,0.000627154,0.000837785,solved,5.7154576568689595e-06,0.8164939437645373,8.164939437618219e-07,0.0005429047784808032,0.48656111364899396,4.865611135693554e-07,-0.001562199839099776,0.0653972189008057,6.539721844392368e-08,0.00429870919388416,2,100,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DPKLO1_Maros_Meszaros,0.000279441,0.000526724,0.000806165,solved,6.524692980467277e-08,0.0017383502486469674,1.738350063808463e-09,8.613375387015631e-08,0.06373403932964959,6.373403930231955e-08,9.837812046109562e-07,0.5653289740454245,5.653289744282177e-07,0.05004931013019692,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DTOC3_Maros_Meszaros,0.008350623,0.205622277,0.2139729,solved,3.1691644863940382e-09,0.00018924342169108273,1.8924342169108274e-10,5.680881112746228e-13,5.645323483916392e-07,5.645323483916391e-13,-0.00021497689698435352,0.4559185905313387,4.5591858812029163e-07,6.046484655633725,7,350,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUAL1_Maros_Meszaros,0.000382092,0.000827176,0.0012092679999999999,solved,4.2172907670453484e-09,0.0012474421083259685,2.1086453816860925e-09,1.1735761827320929e-07,0.10780362336564185,1.078036250265674e-07,6.908460047777565e-08,0.06661664773476576,6.661664792211406e-08,0.01881066419671543,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUAL2_Maros_Meszaros,0.000400862,0.001053657,0.001454519,solved,1.7181937387498017e-09,0.0008590972370550458,8.590968686368535e-10,8.551818046359723e-08,0.07975798710643339,7.97579868696814e-08,7.743254176045822e-08,0.07474206100340487,7.474206074219089e-08,0.02972350621010362,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUAL3_Maros_Meszaros,0.000515313,0.001405429,0.001920742,solved,6.146292660025998e-09,0.003073146327327843,3.073146327327843e-09,2.2753850918425693e-07,0.1863409485932421,1.8634094801128622e-07,2.1341679032338412e-07,0.18625226975807765,1.862522698065231e-07,0.0882689090417899,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUAL4_Maros_Meszaros,0.000224922,0.000666514,0.000891436,solved,6.173375399307636e-08,0.0251814673216176,3.086687696978443e-08,2.766849389944605e-07,0.1258401995915205,1.2584020011206638e-07,2.111747851030188e-07,0.11484876715977818,1.1484876703901779e-07,0.02607554830110316,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUALC1_Maros_Meszaros,0.000149841,0.004514529,0.00466437,solved,1.2376726850070172e-08,6.105933326370496e-06,6.1059333263704964e-12,0.2467839169517826,0.07323918960481125,7.323918960119216e-08,0.004323018453931082,0.4184561568789251,4.184561566313179e-07,0.8502288021830734,14,700,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUALC2_Maros_Meszaros,0.000184971,0.001646031,0.001831002,solved,1.6144107354559918e-08,4.659617612078597e-06,7.237087025241632e-12,0.0074792132947999026,0.02835013212192986,2.8350132112447053e-08,-0.001431395862414625,0.3028247325127486,3.0282473187304386e-07,0.33267733306004,5,275,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUALC5_Maros_Meszaros,0.000163461,0.000582274,0.000745735,solved,3.542607445958433e-08,4.331824910628921e-05,5.894521541625549e-11,3.1717560038309495e-06,0.0017818343204249647,1.7818342791312414e-09,-1.6643495489686244e-05,0.0360979203063562,3.609792007013296e-08,0.45492273743422484,1,75,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
DUALC8_Maros_Meszaros,0.000227021,0.001077017,0.001304038,solved,3.0321538203843975e-08,1.5119273956817295e-05,1.5119273956817284e-11,0.010200111492801164,0.0734677640265086,7.346776286667259e-08,0.006519697276938866,0.19630318046269157,1.963031755766329e-07,0.6348719695999275,1,75,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
EXDATA_Maros_Meszaros,0.357530971,6.612048593,6.969579564,solved,1.2244061714739018e-05,0.4925857614557952,5.830502112550628e-07,2.648344611141593e-06,0.535763760110258,5.357637708859175e-07,-9.55822998344642e-05,0.39116275811474854,3.9116276898798066e-07,295.9470391901224,23,1150,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
GENHS28_Maros_Meszaros,6.722e-05,3.238e-05,9.96e-05,solved,1.3897433450027083e-09,0.0006948716042177621,6.948716720185075e-10,3.5902620876271385e-09,0.001457928168657956,1.4579281686579558e-09,6.971083266194e-09,0.0024422686899443716,2.4422686899443715e-09,2.2838142320522538e-05,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
GOULDQP2_Maros_Meszaros,0.000404383,0.057343094,0.057747477,solved,3.362634615200477e-05,0.9825800928325433,9.82580061421719e-07,3.697312164659926e-10,0.00036969371308401554,3.696937130840155e-10,-3.3617897852826484e-07,0.3360550153716021,3.360550153833613e-07,0.007812337190515107,43,2175,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
GOULDQP3_Maros_Meszaros,0.000494593,0.001278318,0.001772911,solved,4.022339350484572e-09,9.993128810998864e-05,1.1722179098256522e-10,1.631459897021014e-08,0.00047672166095577166,4.767214250919758e-10,9.870644577492093e-07,1.661019647639594e-05,1.6611091695094623e-11,3.8685413933672366e-05,1,50,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
HS118_Maros_Meszaros,0.000111791,0.000482113,0.000593904,solved,1.8258021423633863e-06,0.018077248990159996,1.8077248934290953e-08,5.113051284588721e-08,0.015486586115032267,1.5486586155384447e-08,-1.5084033293533137e-06,0.0022582888142510258,2.258288644046088e-09,0.0017951717623653479,13,675,5,reflected halpern,1.118087161668963,-1,14.955140383130786,46.828655065900435,-1,-1,1,-1,0.7539407999438441,50,0.3121812468798405,-1,-1,none,1,1,0.6167106503097293,0.5251243394345884,0,0,-1,-1,-1
