problem name,setup time,solve time,run time,status,primal residual,primal ratio,dual residual,dual ratio,duality gap,duality gap ratio,integral_sum,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter,pid_controller,KP,KI,negate_K
CVXQP2_L,0.820548557,7.69599936,8.516547917,solved,6.054662176221107e-06,0.8649517381166195,6.960751203468258e-05,0.0005219334046402073,-0.0026807686271342643,1.638605102312615e-05,0.103860403059939,33,1650,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP2_M,0.003803025,0.019756138,0.023559163,solved,3.6776095662963433e-06,0.5253727947039448,9.86873119352212e-05,0.008783246728065852,-0.0007886774837970734,0.00048080706130164755,0.001041057961368012,3,175,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP2_S,0.000182391,0.000351302,0.000533693,solved,1.2450216137444721e-08,0.000944889688297231,2.4171390260828038e-05,0.024104147804175056,-1.129508382291533e-05,0.0006953867262168533,3.9637669973314886e-06,1,75,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP3_L,1.612428637,80.237938293,81.85036692999999,solved,6.93859729104907e-06,0.9912278709939377,0.009565254231084966,0.0789708511582229,-72.05685096750953,0.31136535824449557,0.09031299139499585,240,12000,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP3_M,0.006530252,0.479852857,0.48638310900000004,solved,5.32068541565988e-07,0.0726971716548469,0.008258332203936902,0.6831670621142514,-0.05290418164804578,0.019409682864957138,0.0023610158358824025,60,3000,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
CVXQP3_S,0.000211291,0.000615524,0.0008268150000000001,solved,5.7154576568689595e-06,0.8164939437645373,0.0005429047784808032,0.48656111364899396,-0.001562199839099776,0.0653972189008057,4.20890475101744e-06,2,100,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DPKLO1,0.000261822,0.000546283,0.0008081049999999999,solved,6.524692980467277e-08,0.0017383502486469674,8.613375387015631e-08,0.06373403932964959,9.837812046109562e-07,0.5653289740454245,5.1135466053128196e-05,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DTOC3,0.008150123,0.207841298,0.21599142100000002,solved,3.1691644863940382e-09,0.00018924342169108273,5.680881112746228e-13,5.645323483916392e-07,-0.00021497689698435352,0.4559185905313387,0.00610198859152364,7,350,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUAL1,0.000321002,0.000827095,0.001148097,solved,4.2172907670453484e-09,0.0012474421083259685,1.1735761827320929e-07,0.10780362336564185,6.908460047777565e-08,0.06661664773476576,1.9103104976400954e-05,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
DUAL2,0.000388673,0.001040156,0.001428829,solved,1.7181937387498017e-09,0.0008590972370550458,8.551818046359723e-08,0.07975798710643339,7.743254176045822e-08,0.07474206100340487,2.9370135269830973e-05,1,50,49,averaged,1.1124760081632394,-1,51.48702290233341,48.354538127045,-1,-1,1,1,0.21810930348719754,100,-1,20.47413437784918,1,-1,-1,1,0.44236877939133323,0.5658156545655658,-1,0,-1,-1,-1
